,Code,channel,comments,engagement_anger,engagement_haha,engagement_like,engagement_love,engagement_sorry,engagement_wow,link,postId,reach,shares,text,time,type
353,0,SRF News,13,0,1,201,20,0,30,http://www.facebook.com/permalink.php?story_fbid=1548633035251672&id=289943751120613,289943751120613_1548633035251672,16503,23,Von Olten nach Pyeongchang: Der Vater von Freestyle-Skifahrer Mischa Gasser fährt mit dem Velo an die Olympischen Spiele. ^lvm,15.02.2018 13:23:50,Video
354,0,SRF Kultur,0,0,0,0,0,0,1,http://www.facebook.com/permalink.php?story_fbid=1708125092582637&id=106604179401411,106604179401411_1708125092582637,553,0,Schlittschuhfahren wie eine Eisprinzessin? Kann man auch auf dem Bürostuhl üben! WIRED erklärt wie.,15.02.2018 12:44:00,Link
355,0,SRF News,0,0,3,6,0,1,1,http://www.facebook.com/permalink.php?story_fbid=1548602231921419&id=289943751120613,289943751120613_1548602231921419,3407,1,"Weil in diesem Jahr die Ferien vieler Kantone gleichzeitig sind, kommt es in Graubünden zu Engpässen. ^mk",15.02.2018 12:33:28,Link
356,0,SRF Sport,30,0,1,30,0,0,1,http://www.facebook.com/permalink.php?story_fbid=2139355639422902&id=126546190703867,126546190703867_2139355639422902,7047,0,Kann die Equipe von Patrick Fischer gegen Kanada bestehen? Die Partie SUI-CAN gibt es ab 13:00 Uhr live auf SRF info/zwei und in der Sport App.,15.02.2018 12:29:50,Link
357,0,SRF Kultur,0,0,0,28,2,0,0,http://www.facebook.com/permalink.php?story_fbid=1708124502582696&id=106604179401411,106604179401411_1708124502582696,1005,2,Stumme Frau verliebt sich in Fisch: Mit The Shape of Water ist Guillermo del Toro ein bezauberndes Liebesmärchen gelungen.,15.02.2018 11:51:01,Link
358,0,SRF DOK,4,1,0,34,1,0,0,http://www.facebook.com/permalink.php?story_fbid=1896069693768866&id=233410473368138,233410473368138_1896069693768866,8900,1,Damit du auch in Zukunft nichts von «DOK» verpasst! So geht's:,15.02.2018 11:45:01,Video
359,0,SRF 3,18,10,0,112,4,47,22,http://www.facebook.com/permalink.php?story_fbid=10155644577018402&id=48486263401,48486263401_10155644577018402,36563,32,"«Das Baby kommt nicht so einfach raus, wie es rein ist!» – brutale Sprache, sogar Gewalt bei der Geburt sind offenbar keine Seltenheit. Input-Redaktorin Reena Thelly hat sich mit dem heiklen Thema beschäftigt.",15.02.2018 11:00:00,Link
360,0,SRF Sport,1,0,0,76,4,0,2,http://www.facebook.com/permalink.php?story_fbid=2139255739432892&id=126546190703867,126546190703867_2139255739432892,7429,0,Hanna Öberg trifft 20 von 20 Scheiben und wird überraschend Olympiasiegerin. Elisa Gasparin holt als Achte ein Diplom! 📜,15.02.2018 10:46:00,Link
361,0,SRF News,9,9,0,13,1,3,2,http://www.facebook.com/permalink.php?story_fbid=1548522885262687&id=289943751120613,289943751120613_1548522885262687,2823,2,"Ein konkretes Beispiel zeigt, wie Postauto im öffentlichen Verkehr Gewinn einkalkulierte. ^sk",15.02.2018 10:40:09,Link
362,0,SRF Sport,6,0,18,94,0,0,0,http://www.facebook.com/permalink.php?story_fbid=2139213149437151&id=126546190703867,126546190703867_2139213149437151,24896,6,Unser Studio in Pyeongchang wurde gecrasht 😂😂😂 Clemens Bracher interviewt Michael Kuonen - unbedingt reinschauen!,15.02.2018 09:51:39,Video
363,0,SRF 3,3,0,0,34,8,0,0,http://www.facebook.com/permalink.php?story_fbid=10155644657883402&id=48486263401,48486263401_10155644657883402,8414,5,Sunrise Avenue-Fans in der Schweiz aufgepasst: Die Band hat ein Geschenk für dich🎁 – das Konzert in Zürich wurde zum Video zur aktuellen Single «Heartbreak Century» – erkennst du dich oder deine Freunde im Clip? 🎶😍🇨🇭️🇫🇮️,15.02.2018 09:35:48,Video
