Region,Jahr,1.1.0 Anzahl Beschäftigte auf Etatstellen,1.2.0 Anzahl Etatstellen,1.3.0 Anzahl Beschäftigte auf Temporärstellen,1.4.0 Anzahl Temporärstellen,2.1.0 Laufmeter erschlossenes Archivgut (Papier),2.2.0 Gesamtanzahl der Verzeichnungseinträge,3.1.0 Laufmeter Neuzugänge im Berichtsjahr,3.2.0 Laufmeter neu erschlossenes Archivgut,3.3.0 Anzahl neu erfasster Verzeichnungseinträge,4.1.1 Anzahl Arbeitsplätze im Lesesaal,4.1.2 Anzahl Öffnungstage pro Woche,4.1.3 Öffnungszeiten pro Woche in Stunden,4.2.1 Anzahl Benutzende des Lesesaals,4.2.2 Anzahl Benutzungstage im Lesesaal,4.2.3 Anzahl bestellter Archivalieneinheiten,4.2.4 Anzahl schriftlicher Antworten,5.1.1 Anzahl Seiten der Website,5.1.2 Anzahl Seitenaufrufe auf der Website,5.1.3 Anzahl Besuchende der Webseite,5.1.4 Anzahl Besuche der Website (länger als 15 Minuten),5.2.1 Anzahl online recherchierbarer Verzeichnungseinheiten,5.2.2 Anzahl Seitenaufrufe im Online-Verzeichnis,5.2.3 Anzahl Besuchende im Online-Verzeichnis,5.2.4 Anzahl Besuche im Online-Verzeichnis (länger als 15 Minuten),5.3.1 Anzahl online nutzbarer Archivalieneinheiten,5.3.2 Anzahl online genutzter Archivalieneinheiten,5.3.3 Anzahl Besuchende im Viewer,5.3.4 Anzahl Besuche im Viewer
ZH : Zürich,2014,60,36.8,27,21.3,33’006,1’191’970,1’577,672,268’176,54,5,42,1’177,4’241,11’695,942,98,107’809,n.a.,1’535,577’855,4’409’914,n.a.,298’406,6’020,n.a.,n.a.,n.a.
ZH : Zürich,2015,60,36.8,30,22.3,34’072,1’402’525,955,1’066,210’555,54,5,42,1’079,3’619,11’956,961,98,121’796,n.a.,2’971,708’515,5’409’442,n.a.,345’763,72’950,n.a.,n.a.,n.a.
ZH : Zürich,2016,60,36.8,30,22.3,35’247,1’636’065,1’025,1’175,233’540,54,4,41,1’095,3’288,11’827,831,99,137’299,n.a.,3’700,845’600,7’150’490,718’930,80’550,77’365,5’409’442,n.a.,243’923
Bundesarchiv,2013,75,61.4,8,8,59’118,5’418’152,1’473,1’473,171’568,45,3,30,729,2’643,25’948,2’227,132,1’448’372,87’910,14’371,3’449’258,1’995’641,61’129,95’529,2’250’000,2’516’155,133’268,183’816
Bundesarchiv,2014,74,56.7,3,3,60’226,5’560’367,1’108,1’108,142’215,45,3,30,869,3’197,30’741,2’230,140,2’007’663,108’111,16’475,3’629’861,3’394’832,102’048,158’583,2’500’000,5918439,141603,187’545
Bundesarchiv,2015,77,59.7,2,2,61’390,5’725’367,1’563,1’563,165’000,45,3,30,1’412,2’948,30’686,2’051,274,1’698’689,106’136,14’696,3’701’215,2’730’498,80’660,32’823,2’535’000,5’252’324,41’214,79’357
Bundesarchiv,2016,78,59.5,7,6.5,63’290,5’894’581,1’900,1’900,169’450,45,3,30,1‘456,3’681,39‘177,1‘712,290,226,77,n.a.,3’970’897,2’726’928,91’972,37’226,2’535’000,5’002’395,43’665,70’450
Liechtenstein,2013,9,6.5,8,2,9’800,1’668’109,330,n.a.,139’015,8,5,38,117,443,2’153,695,43,42’609,28’044,15’264,0,0,0,0,4’814,44’211,2’497,5’055
Liechtenstein,2014,9,6.5,5,2,10’000,1’701’614,340,n.a.,34’208,8,5,38,142,369,3’284,643,43,n.a.,n.a.,n.a.,42’391,n.a.,n.a.,n.a.,5’256,n.a.,n.a.,n.a.
Liechtenstein,2015,9,6.4,5,2,10’300,1’737’987,325,n.a.,15’783,8,5,38,150,460,1’604,343,43,n.a.,n.a.,n.a.,42’391,n.a.,n.a.,n.a.,6’995,8’803,5’324,55’124
Liechtenstein,2016,8,6.5,1,n.a.,10’300,1’782’264,170,n.a.,24’229,8,5,38,141,316,1’452,574,43,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7’230,9’791,6’445,43’420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statistiques d'archives suisses 
 Schweizerische Archivstatistik
 2013-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
