,Anzahl,Firma,Jahr,Lehrstelle,Ort
129,1,Boretti AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Möbel) EFZ,Erlen (TG)
130,1,Burlet AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Musikinstrumente) EFZ,Fällanden (ZH)
131,1,Schwager Bedachungen AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Nahrungs- und Genussmittel) EFZ,Fischingen (TG)
132,1,U. + H. Nadig Fassaden-Technik AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Papeterie) EFZ,Flums (SG)
133,1,Roth Dach GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Parfümerie) EFZ,Gunzgen (SO)
134,1,von Büren Dachblitz AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Post) EFZ,Hochdorf (LU)
135,1,Habisreutinger Gebäudehülle GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Schuhe) EFZ,Huttwil (BE)
136,2,Kündig Josef AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Spielwaren) EFZ,Ibach (SZ)
137,1,Betschart Gebäudehülle AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Sportartikel) EFZ,Illgau (SZ)
138,1,Werth AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Teppich und Bodenbeläge) EFZ,Kägiswil (OW)
139,1,Remo Schönenberger AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Textil) EFZ,Kirchberg SG (SG)
140,1,Schäfer Stammbach Partner AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Uhren-Schmuck-Edelsteine) EFZ,Luzern (LU)
141,1,M. Kneubühler AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Zoofachhandel) EFZ,Menznau (LU)
142,1,Mazzeo Bedachungen und Spenglerei AG,2019,Diätkoch/-köchin EFZ,Mettlen (TG)
143,1,Elmer + Blumer Bedachungen AG,2019,Drogist/in EFZ,Mollis (GL)
144,2,Ackermann Gebäudehüllen GmbH,2019,"Edelstein-/Diamantenschleifer/in (EFZ, Kt. Regl. TI)",Niederurnen (GL)
145,1,Hutter Bedachungen AG,2019,Elektroinstallateur/in EFZ,Oberriet SG (SG)
146,1,Bühler,2019,Elektroniker/in EFZ,Romanshorn (TG)
147,1,Streule & Alder AG,2019,Elektroplaner/in EFZ,Rorschach (SG)
148,1,greencover ag,2019,Entwässerungspraktiker/in EBA,Sargans (SG)
149,1,Martin Schönenberger AG,2019,Entwässerungstechnologe/-login EFZ,Schwarzenbach SG (SG)
150,1,Schönenberger + Rieser AG,2019,Entwässerungstechnologe/in (Sanieren von Entwässerungsanlagen) EFZ,Sulgen (TG)
