,Addresse,City,Lat,Lng,Name,Rating
95,"Via Clemente Maraini 12, 6900 Lugano, Switzerland",Lugano,45.9988503,8.944663799999999,Addis Ristorante Etnico Lugano (specialità etiope),4.1
96,"Via Ginevra 4, 6900 Lugano, Switzerland",Lugano,46.0084054,8.9515899,MonnaLisa Restaurant,4.5
97,"Piazza Riforma 9, 6900 Lugano, Switzerland",Lugano,46.00404109999999,8.95115,Ristorante Federale,4.1
98,"Piazza Riforma 1, 6900 Lugano, Switzerland",Lugano,46.00364099999999,8.9513442,Bar Ristorante Olimpia,2.9
99,"Viale Carlo Cattaneo 25, 6900 Lugano, Switzerland",Lugano,46.005904,8.9600679,新上海饭店 NEW SHANGHAI,3.9
100,"Via Ferruccio Pelli 7, 6900 Lugano, Switzerland",Lugano,46.0076233,8.9506896,Snack Bar Picchio,4.1
101,"Corso Enrico Pestalozzi 12, 6900 Lugano, Switzerland",Lugano,46.005489,8.95445,Taqueria El Chilicuil,4.2
102,"Piazza Riziero Rezzonico 2, 6900 Lugano, Switzerland",Lugano,46.0033352,8.9509173,Mary,3.5
103,"3, Via Zurigo, 6900 Lugano, Switzerland",Lugano,46.0112938,8.9559676,Ristorante Charlie Moto Bistrot - Lugano,4.2
104,"Via del Tiglio 13/A, 6900 Lugano, Switzerland",Lugano,46.0076192,8.9625627,Ristorante Pizzeria da Franco,4.4
105,"Corso Enrico Pestalozzi 27, 6900 Lugano, Switzerland",Lugano,46.0059023,8.9548384,Osteria Cyrano,4.2
106,"Corso Elvezia 22, 6900 Lugano, Switzerland",Lugano,46.0083904,8.9559862,Ristorante Etimo,4.3
107,"Piazzale Stazione, 6900 Lugano, Switzerland",Lugano,46.0058813,8.946774,Buffet della Stazione FFS Sa,4.1
108,"Via Moncucco 35, 6900 Lugano, Switzerland",Lugano,46.0044573,8.9381665,Osteria Penel,4.4
109,"Pianostrasse 48, 2503 Biel, Switzerland",Biel/Bienne,47.1349291,7.256042199999999,Restaurant Les délices du Vietnam,3.7
